Bassett, Richard 
Bradshaw, Samuel Carey
Broom, Jacob 
Butler, Andrew Pickens
Cadwalader, John 
Campbell, John Pierce
Chapman, Bird Beers
Child, Thomas 
Clarke, Bayard 
Cobb, Howell 
Cox, Leander Martin
Cullen, Elisha Dickerson
Cumback, William 
Davis, Jacob Cunningham
Day, Timothy Crane
De Witt, Alexander 
Denver, James William
Dickson, Samuel 
Dunn, George Grundy
Durkee, Charles 
Edwards, Francis Smith
Emrie, Jonas Reece
Evans, Lemuel Dale
Fitzpatrick, Benjamin 
Flagler, Thomas Thorn
Foster, Nathaniel Greene
Fuller, Henry Mills
Fuller, Thomas James Duncan
Galloway, Samuel 
Gilbert, William Augustus
Hall, Augustus 
Harris, Sampson Willis
Harrison, John Scott
Haven, Solomon George
Herbert, Philemon Thomas
Hodges, George Tisdale
Hoffman, Henry William
Holloway, David Pierson
Horton, Thomas Raymond
Hughston, Jonas Abbott
Iverson, Alfred 
Johnson, Robert Ward
Kennett, Luther Martin
Kidwell, Zedekiah 
King, Rufus H.
Knight, Jonathan 
Knowlton, Ebenezer 
Knox, James 
Lake, William Augustus
Lindley, James Johnson
Lumpkin, John Henry
Mace, Daniel 
Marshall, Alexander Keith
Maxwell, Augustus Emmett
McCarty, Andrew Zimmerman
McMullen, Fayette 
Meacham, James 
Miller, John Gaines
Miller, Killian 
Miller, Smith 
Moore, Oscar Fitzallen
Oliver, Andrew 
Oliver, Mordecai 
Packer, Asa 
Paine, Robert Treat
Pearce, John Jamison
Peck, George Washington
Pelton, Guy Ray
Pennington, Alexander Cumming McWhorter
Porter, Gilchrist 
Pringle, Benjamin 
Pugh, George Ellis
Puryear, Richard Clauselle
Reade, Edwin Godwin
Rivers, Thomas 
Robison, David Fullerton
Sabin, Alvah 
Sage, Russell 
Sapp, William Robinson
Scott, Harvey David
Seward, William Henry
Simmons, George Abel
Slidell, John 
Smith, William Russell
Sneed, William Henry
Stranahan, James Samuel Thomas
Swope, Samuel Franklin
Thorington, James 
Thurston, Benjamin Babock
Trafton, Mark 
Tyson, Job Roberts
Vail, George 
Valk, William Weightman
Wakeman, Abram 
Walker, Percy 
Warner, Hiram 
Watson, Cooper Kinderdine
Welch, William Wickham
Wells, Daniel 
Wells, John Sullivan
Wheeler, John 
Whitfield, John Wilkins
Whitney, Thomas Richard
Williams, John 
Woodworth, James Hutchinson
Wright, Daniel Boone
Yulee, David Levy
Bigler, William 
Comegys, Joseph Parsons
Buchanan, James 
Abbott, Nehemiah 
Ahl, John Alexander
Andrews, Samuel George
Arnold, Samuel 
Bates, Martin Waltham
Bennett, Henry 
Billinghurst, Charles 
Bishop, William Darius
Bliss, Philemon 
Bowie, Thomas Fielder
Brenton, Samuel 
Bright, Jesse David
Broderick, David Colbreth
Brooks, Preston Smith
Bryan, Guy Morrison
Burns, Joseph 
Caruthers, Samuel 
Caskie, John Samuels
Chaffee, Calvin Clifford
Chapman, Henry 
Clark, Ezra 
Clawson, Isaiah Dunn
Clay, James Brown
Cockerill, Joseph Randolph
Comins, Linus Bacon
Damrell, William Shapleigh
Davis, Jefferson 
Davis, Timothy 
Davis, Timothy 
Dean, Sidney 
Dewart, William Lewis
Dodd, Edward 
Dowdell, James Ferguson
Durfee, Nathaniel Briggs
Edie, John Rufus
Elliott, John Milton
Eustis, George 
Ferguson, Fenner 
Fitch, Graham Newell
Foley, James Bradford
Giddings, Joshua Reed
Gillis, James Lisle
Gilman, Charles Jervis
Goodwin, Henry Charles
Granger, Amos Phelps
Green, James Stephen
Greenwood, Alfred Burton
Gregg, James Madison
Groesbeck, William Slocum
Gwin, William McKendree
Hall, Lawrence Washington
Hall, Robert Bernard
Hammond, James Henry
Harlan, Aaron 
Harris, Thomas Langrell
Hatch, Israel Thompson
Henderson, James Pinckney
Hodges, Charles Drury
Hopkins, George Washington
Hughes, James 
Huyler, John 
Jewett, Joshua Husband
Jones, George Washington
Jones, Jehu Glancy
Jones, Owen 
Keim, William High
Kelly, John 
Kennedy, Anthony 
King, Preston 
Kingsbury, William Wallace
Knapp, Chauncey Langdon
Kunkel, John Christian
Landy, James 
Lawrence, William 
Leidy, Paul 
Leiter, Benjamin Franklin
Letcher, John 
Lockhart, James 
Mallory, Stephen Russell
Marshall, Humphrey 
Mason, James Murray
Mason, John Calvin
Matteson, Orsamus Benajah
McKibbin, Joseph Chambers
Miller, Joseph 
Montgomery, John Gallagher
Morgan, Edwin Barber
Morrison, James Lowery Donaldson
Morse, Oliver Andrew
Mott, Richard 
Murray, Ambrose Spencer
Nichols, Matthias H.
Nourse, Amos 
Orr, James Lawrence
Parker, John Mason
Phelps, William Wallace
Phillips, Henry Myer
Pike, James 
Polk, Trusten 
Powell, Paulus 
Purviance, Samuel Anderson
Quitman, John Anthony
Ready, Charles 
Reilly, Wilson 
Ricaud, James Barroll
Ritchie, David 
Robbins, George Robbins
Roberts, Anthony Ellmaker
Russell, William Fiero
Sandidge, John Milton
Savage, John Houston
Searing, John Alexander
Seward, James Lindsay
Shaw, Henry Marchmore
Sherman, Judson W.
Shorter, Eli Sims
Simmons, James Fowler
Smith, Robert 
Smith, Samuel Axley
Talbott, Albert Gallatin
Taylor, George 
Thompson, John 
Thomson, John Renshaw
Trippe, Robert Pleasant
Underwood, Warner Lewis
Walbridge, David Safford
Warren, Edward Allen
Watkins, Albert Galiton
White, Allison 
Wood, John M.
Wortendyke, Jacob Reynier
Wright, Augustus Romaldus
Zollicoffer, Felix Kirk
Chesnut, James 
Clingman, Thomas Lanier
Hayne, Arthur Peronneau
Rice, Henry Mower
Ward, Matthias 
Adams, Green 
Adrain, Garnett Bowditch
Anderson, Thomas Lilbourne
Anderson, William Clayton
Ashmore, John Durant
Avery, William Tecumsah
Barksdale, William 
Barr, Thomas Jefferson
Barret, John Richard
Beale, Charles Lewis
Benjamin, Judah Philip
Bingham, Kinsley Scott
Bocock, Thomas Stanley
Bonham, Milledge Luke
Boteler, Alexander Robinson
Bouligny, John Edward
Boyce, William Waters
Brabson, Reese Bowen
Bragg, Thomas 
Branch, Lawrence O’Bryan
Brayton, William Daniel
Briggs, George 
Bristow, Francis Marion
Brown, Albert Gallatin
Burch, John Chilton
Burlingame, Anson 
Burroughs, Silas Mainville
Butterfield, Martin 
Carey, John 
Carter, Luther Cullen
Case, Charles 
Clark, Horace Francis
Clay, Clement Claiborne
Clemens, Sherrard 
Clopton, David 
Cobb, Williamson Robert Winfield
Coburn, Stephen 
Cochrane, Clark Betton
Cochrane, John 
Cooper, George Byran
Craig, James 
Craige, Francis Burton
Crawford, Martin Jenkins
Curry, Jabez Lamar Monroe
Davidson, Thomas Green
Davis, John Givan
Davis, Reuben 
Dick, John 
Dimmick, William Harrison
Douglas, Stephen Arnold
Edmundson, Henry Alonzo
English, William Hayden
Estabrook, Experience 
Etheridge, Emerson 
Florence, Thomas Birch
Foster, Stephen Clark
French, Ezra Bartlett
Garnett, Muscoe Russell Hunter
Gartrell, Lucius Jeremiah
Gilmer, John Adams
Goode, William Osborne
Graham, James Harper
Hale, John Parker
Hall, Chapin 
Hamilton, Andrew Jackson
Harris, James Morrison
Haskin, John Bussing
Hatton, Robert Hopkins
Haun, Henry Peter
Hawkins, George Sydney
Helmick, William 
Hemphill, John 
Hindman, Thomas Carmichael
Hoard, Charles Brooks
Howard, William 
Howard, William Alanson
Hughes, George Wurtz
Hunter, Robert Mercer Taliaferro
Irvine, William 
Jackson, James 
Jenkins, Albert Gallatin
Jones, John James
Junkin, Benjamin Franklin
Keitt, Laurence Massillon
Kenyon, William Scheuneman
Kilgore, David 
Kunkel, Jacob Michael
Landrum, John Morgan
Lane, Joseph 
Larrabee, Charles Hathaway
Leach, De Witt Clinton
Leake, Shelton Farrar
Lee, Moses Lindley
Longnecker, Henry Clay
Love, Peter Early
Maclay, William Brown
Martin, Charles Drake
Martin, Elbert Sevier
McKenty, Jacob Kerlin
McQueen, John 
McRae, John Jones
Miles, William Porcher
Millson, John Singleton
Millward, William 
Montgomery, William 
Moore, Laban Theodore
Moore, Sydenham 
Morris, Isaac Newton
Morse, Freeman Harlow
Nicholson, Alfred Osborn Pope
Otero, Miguel Antonio
Palmer, George William
Parrott, Marcus Junius
Pennington, William 
Perry, John Jasiel
Pettit, John Upfold
Peyton, Samuel Oldham
Pottle, Emory Bemsley
Powell, Lazarus Whitehead
Pryor, Roger Atkinson
Quarles, James Minor
Reynolds, Edwin Ruthvin
Reynolds, John Hazard
Riggs, Jetur Rose
Robinson, Christopher 
Royce, Homer Elihu
Ruffin, Thomas 
Rust, Albert 
Schwartz, John 
Scott, Charles Lewis
Sebastian, William King
Simms, William Emmett
Smith, Delazon 
Smith, William 
Smith, William Nathan Harrell
Somes, Daniel Eton
Spink, Cyrus 
Spinner, Francis Elias
Stallworth, James Adams
Stanton, Benjamin 
Stevens, Isaac Ingalls
Stewart, James Augustus
Stewart, William 
Stout, Lansing 
Tappan, Mason Weare
Taylor, Miles 
Ten Eyck, John Conover
Thayer, Eli 
Theaker, Thomas Clarke
Thomas, James Houston
Tompkins, Cydnor Bailey
Toombs, Robert Augustus
Underwood, John William Henderson
Wade, Edward 
Washburn, Israel 
Wells, Alfred 
Whiteley, William Gustavus
Wigfall, Louis Trezevant
Wilson, James 
Winslow, Warren 
Wood, John 
Woodruff, John 
Woodson, Samuel Hughes
Wright, John Vines
Baker, Edward Dickinson
Latham, Milton Slocum
Lincoln, Abraham 
Adams, Charles Francis
Aldrich, Cyrus 
Allen, William 
Appleton, William 
Babbitt, Elijah 
Bailey, Goldsmith Fox
Baker, Stephen 
Bernhisel, John Milton
Biddle, Charles John
Blair, Samuel Steel
Blake, Harrison Gray Otis
Breckinridge, John Cabell
Bridges, George Washington
Browne, George Huntington
Browning, Orville Hickman
Burnett, Henry Cornelius
Burnham, Alfred Avery
Calvert, Charles Benedict
Campbell, James Hepburn
Carlile, John Snyder
Casey, Samuel Lewis
Chamberlain, Jacob Payson
Chase, Salmon Portland
Clark, Daniel 
Clark, John Bullock
Clements, Andrew Jackson
Cobb, George Thomas
Collamer, Jacob 
Conkling, Frederick Augustus
Conway, Martin Franklin
Cooper, Thomas Buchecker
Corwin, Thomas 
Cowan, Edgar 
Cradlebaugh, John 
Crisfield, John Woodland
Crittenden, John Jordan
Curtis, Samuel Ryan
Cutler, William Parker
Davis, William Morris
De Jarnette, Daniel Coleman
Delano, Charles 
Delaplaine, Isaac Clason
Diven, Alexander Samuel
Dunlap, George Washington
Dunn, William McKee
Edgerton, Sidney 
Edwards, Thomas McKey
Ely, Alfred 
Fessenden, Samuel Clement
Fessenden, Thomas Amory Deblois
Fisher, George Purnell
Flanders, Benjamin Franklin
Foster, Lafayette Sabine
Fouke, Philip Bond
Franchot, Richard 
Granger, Bradley Francis
Gurley, John Addison
Haight, Edward 
Hanchett, Luther 
Harris, Ira 
Harrison, Richard Almgill
Hickman, John 
Horton, Valentine Baxter
Hutchins, John 
Jackson, James Streshly
Johnson, Waldo Porter
Kellogg, William 
Kerrigan, James 
Lane, Henry Smith
Leary, Cornelius Lawrence Ludlow
Lehman, William Eckart
Loomis, Dwight 
Low, Frederick Ferdinand
May, Henry 
McClernand, John Alexander
McDougall, James Alexander
McKean, James Bedell
McKnight, Robert 
McPherson, Edward 
Menzies, John William
Mitchel, Charles Burton
Mitchell, William 
Morrill, Anson Peaslee
Morris, Edward Joy
Nelson, Thomas Amos Rogers
Nixon, John Thompson
Norton, Elijah Hise
Nugen, Robert Hunter
Olin, Abram Baldwin
Pearce, James Alfred
Phelps, John Smith
Phelps, Timothy Guy
Porter, Albert Gallatin
Potter, John Fox
Price, Thomas Lawson
Reid, John William
Riddle, Albert Gallatin
Scranton, George Whitfield
Sedgwick, Charles Baldwin
Sherman, Socrates Norton
Shiel, George Knox
Sloan, Andrew Scott
Smith, Edward Henry
Spaulding, Elbridge Gerry
Stark, Benjamin 
Stratton, John Leake Newbold
Thayer, Andrew Jackson
Thomas, Benjamin Franklin
Train, Charles Russell
Trimble, Carey Allen
Upton, Charles Horace
Vallandigham, Clement Laird
Verree, John Paul
Vibbard, Chauncey 
Walker, Amasa 
Wall, William 
Walton, Charles Wesley
Walton, Eliakim Persons
Watts, John Sebrie
White, Albert Smith
Wickliffe, Charles Anderson
Wilmot, David 
Woodruff, George Catlin
Worcester, Samuel Thomas
Arnold, Samuel Greene
Field, Richard Stockton
Harding, Benjamin Franklin
Henderson, John Brooks
Hicks, Thomas Holliday
Wilson, Robert 
Wright, Joseph Albert
Allen, James Cameron
Allen, William Joshua
Anderson, Lucien 
Arnold, Isaac Newton
Bailey, Joseph 
Baldwin, Augustus Carpenter
Bennet, Hiram Pitt
Blair, Jacob Beeson
Bliss, George 
Bowden, Lemuel Jackson
Brown, Benjamin Gratz
Brown, James Sproat
Brown, William Gay
Clark, Ambrose Williams
Clay, Brutus Junius
Cole, George Edward
Conness, John 
Corning, Erastus 
Cravens, James Addison
Daily, Samuel Gordon
Davis, Henry Winter
Dixon, James 
Doolittle, James Rood
Edgerton, Joseph Ketchum
Foot, Solomon 
Frank, Augustus 
Ganson, John 
Hale, James Tracy
Hall, William Augustus
Harrington, Henry William
Harris, Charles Murray
Hendricks, Thomas Andrews
Herrick, Anson 
Hutchins, Wells Andrews
Jayne, William 
Johnson, Reverdy 
Johnston, William 
Kalbfleisch, Martin 
King, Austin Augustus
Kinney, John Fitch
Knapp, Anthony Lausett
Knox, Samuel 
Law, John 
Lazear, Jesse 
Littlejohn, De Witt Clinton
Long, Alexander 
Lovejoy, Owen 
Mallory, Robert 
Marcy, Daniel 
McAllister, Archibald 
McBride, John Rogers
McDowell, James Foster
Middleton, George 
Miller, William Henry
Morgan, Edwin Denison
Morris, James Remley
Mott, Gordon Newell
Myers, Amos 
Nelson, Homer Augustus
Noble, Warren Perry
Noell, John William
Norton, Jesse Olds
O’Neill, John 
Odell, Moses Fowler
Perea, Francisco 
Perry, Nehemiah 
Poston, Charles Debrille
Richardson, William Alexander
Rollins, James Sidney
Scott, John Guier
Segar, Joseph Eggleston
Shannon, Thomas Bowles
Smithers, Nathaniel Barratt
Stebbins, Henry George
Steele, John Benedict
Steele, William Gaston
Stuart, John Todd
Sweat, Lorenzo De Medici
Temple, William 
Todd, John Blair Smith
Tracy, Henry Wells
Van Valkenburgh, Robert Bruce
Van Winkle, Peter Godwin
Wade, Benjamin Franklin
Wall, James Walter
Wallace, William Henson
Wheeler, Ezra 
White, Chilton Allen
White, Joseph Worthington
Wilder, Abel Carter
Worthington, Henry Gaither
Wright, William 
Yeaman, George Helm
Farwell, Nathan Allen
Riddle, George Read
Alley, John Bassett
Ancona, Sydenham Elnathan
Barker, Abraham Andrews
Baxter, Portus 
Bergen, Teunis Garret
Bidwell, John 
Blow, Henry Taylor
Brandegee, Augustus 
Campbell, William Bowen
Cooper, Edmund 
Creswell, John Angel James
Culver, Charles Vernon
Darling, William Augustus
Davis, Thomas Treadwell
Dawson, John Littleton
Defrees, Joseph Hutton
Deming, Henry Champion
Denny, Arthur Armstrong
Dodge, William Earle
Dumont, Ebenezer 
Farquhar, John Hanson
Fessenden, William Pitt
Goodwin, John Noble
Goodyear, Charles 
Grider, Henry 
Grimes, James Wilson
Grinnell, Josiah Bushnell
Guthrie, James 
Harding, Aaron 
Harris, Benjamin Gwinn
Hart, Roswell 
Henderson, James Henry Dickey
Hill, Ralph 
Hogan, John 
Holmes, Sidney Tracy
Howard, Jacob Merritt
Hubbard, Demas 
Hubbard, John Henry
Hubbell, Edwin Nelson
Hubbell, James Randolph
Humphrey, James 
Hunter, John Ward
Johnson, Philip 
Jones, Morgan 
Kellogg, Orlando 
Kelso, John Russell
Kuykendall, Andrew Jackson
Lane, James Henry
Latham, George Robert
Le Blond, Francis Celeste
Leftwich, John William
Longyear, John Wesley
McIndoe, Walter Duncan
McLean, Samuel 
McRuer, Donald Campbell
Morris, Daniel 
Newell, William Augustus
Norton, Daniel Sheldon
Radford, William 
Randall, William Harrison
Raymond, Henry Jarvis
Rice, Alexander Hamilton
Rice, John Hovey
Ritter, Burwell Clark
Rogers, Andrew Jackson
Rousseau, Lovell Harrison
Saulsbury, Willard 
Shanklin, George Sea
Sloan, Ithamar Conkey
Smith, Green Clay
Starr, John Farson
Stilwell, Thomas Neel
Strouse, Myer 
Taylor, Nathaniel Green
Taylor, Nelson 
Thayer, Martin Russell
Thomas, John Lewis
Thornton, Anthony 
Ward, Andrew Harrison
Warner, Samuel Larkin
Webster, Edwin Hanson
Wentworth, John 
Whaley, Kellian Van Rensalear
Willey, Waitman Thomas
Williams, George Henry
Winfield, Charles Henry
Wright, Edwin Ruthvin Vincent
Yates, Richard 
Cattell, Alexander Gilmore
Fogg, George Gilman
Fowler, Joseph Smith
Patterson, David Trotter
Ross, Edmund Gibson
Anderson, George Washington
Ashley, Delos Rodeyn
Ashley, James Mitchell
Baldwin, John Denison
Barnes, Demas 
Bashford, Coles 
Bayard, James Asheton
Blackburn, William Jasper
Boyden, Nathaniel 
Boyer, Benjamin Markley
Bromwell, Henry Pelham Holmes
Broomall, John Martin
Buckland, Ralph Pomeroy
Burleigh, Walter Atwood
Callis, John Benton
Cary, Samuel Fenton
Chanler, John Winthrop
Clarke, Reader Wright
Clever, Charles P.
Cole, Cornelius 
Colfax, Schuyler 
Corbett, Henry Winslow
Corley, Manuel Simeon
Davis, Garrett 
Delano, Columbus 
Denison, Charles 
Dodge, Grenville Mellen
Donnelly, Ignatius 
Drake, Charles Daniel
Driggs, John Fletcher
Eckley, Ephraim Ralph
Eggleston, Benjamin 
Eliot, Thomas Dawes
Elliott, James Thomas
Fields, William Craig
Finney, Darwin Asahel
Flanders, Alvan 
French, John Robert
Glossbrenner, Adam John
Goss, James Hamilton
Gravely, Joseph Jackson
Griswold, John Augustus
Grover, Asa Porter
Hamilton, Cornelius Springer
Harding, Abner Clark
Harlan, James 
Haughey, Thomas 
Higby, William 
Hinds, James 
Hise, Elijah 
Holbrook, Edward Dexter
Hotchkiss, Julius 
Hubbard, Asahel Wheeler
Hubbard, Chester Dorman
Hubbard, Richard Dudley
Hulburd, Calvin Tilden
Humphrey, James Morgan
Kellogg, Francis William
Kitchen, Bethuel Middleton
Koontz, William Henry
Lincoln, William Slosson
Loan, Benjamin Franklin
Mallory, Rufus 
Mann, James 
Marquette, Turner Mastin
Marvin, James Madison
McClurg, Joseph Washington
McCullough, Hiram 
McKee, Samuel 
Miller, George Funston
Moorhead, James Kennedy
Mullins, James 
Newcomb, Carman Adam
Nicholson, John Anthony
Noell, Thomas Estes
Norris, Benjamin White
Nye, James Warren
Patterson, James Willis
Perham, Sidney 
Pettis, Solomon Newton
Phelps, Charles Edward
Pierce, Charles Wilson
Pike, Frederick Augustus
Pile, William Anderson
Plants, Tobias Avery
Polsley, Daniel Haymond
Pomeroy, Samuel Clarke
Pomeroy, Theodore Medad
Pruyn, John Van Schaick Lansing
Raum, Green Berry
Robertson, William Henry
Ross, Lewis Winans
Selye, Lewis 
Sitgreaves, Charles 
Spalding, Rufus Paine
Stevens, Thaddeus 
Stewart, Thomas Elliott
Stover, John Hubler
Taber, Stephen 
Thayer, John Milton
Thomas, Francis 
Trimble, John 
Trowbridge, Rowland Ebenezer
Trumbull, Lyman 
Upson, Charles 
Van Horn, Burt 
Vidal, Michel 
Washburn, Henry Dana
Williams, Thomas 
Wilson, Stephen Fowler
Woodbridge, Frederick Enoch
Abbott, Joseph Carter
Harris, John Spafford
McDonald, Alexander 
Osborn, Thomas Ward
Pool, John 
Rice, Benjamin Franklin
Sawyer, Frederick Adolphus
Vickers, George 
Warner, Willard 
Welch, Adonijah Strong
Armstrong, William Hepburn
Arnell, Samuel Mayes
Asper, Joel Funk
Atwood, David 
Axtell, Samuel Beach
Ayer, Richard Small
Bailey, Alexander Hamilton
Beaman, Fernando Cortez
Benjamin, John Forbes
Bennett, David Smith
Benton, Jacob 
Bethune, Marion 
Booker, George William
Boreman, Arthur Inghram
Bowen, Christopher Columbus
Boyd, Sempronius Hamilton
Bradford, Allen Alexander
Brownlow, William Gannaway
Buck, Alfred Eliab
Buckingham, William Alfred
Burr, Albert George
Cake, Henry Lutz
Calkin, Hervey Chittenden
Casserly, Eugene 
Cavanaugh, James Michael
Chaves, José Francisco
Churchill, John Charles
Clarke, Sidney 
Cleveland, Orestes 
Clift, Joseph Wales
Cobb, Amasa 
Corker, Stephen Alfestus
Covode, John 
Cowles, George Washington
Davis, Noah 
Degener, Edward 
Deweese, John Thomas
Dickinson, Edward Fenwick
Dixon, Joseph 
Dixon, Nathan Fellows
Dockery, Oliver Hart
Donley, Joseph Benton
Duval, Isaac Harding
Dyer, David Patterson
Edwards, William Posey
Ela, Jacob Hart
Fenton, Reuben Eaton
Ferriss, Orange 
Fisher, John 
Fitch, Thomas 
Fox, John 
Gibson, James King
Gilbert, Abijah 
Gilfillan, Calvin Willard
Golladay, Jacob Shall
Gove, Samuel Francis
Greene, George Woodward
Griswold, John Ashley
Haight, Charles 
Hamill, Patrick 
Hamilton, Charles Memorial
Hamilton, William Thomas
Hawkins, Isaac Roberts
Heaton, David 
Heflin, Robert Stell
Hoag, Truman Harrison
Holmes, Charles Horace
Hopkins, Benjamin Franklin
Hotchkiss, Giles Waldo
Ingersoll, Ebon Clark
Jenckes, Thomas Allen
Johnson, James Augustus
Jones, Alexander Hamilton
Judd, Norman Buel
Julian, George Washington
Kelsey, William Henry
Knapp, Charles 
Laflin, Addison Henry
Lash, Israel George
Long, Jefferson Franklin
Manning, John 
McCarthy, Dennis 
McKenzie, Lewis 
Milnes, William 
Moffet, John 
Moore, Eliakim Hastings
Moore, William 
Morrell, Daniel Johnson
Morrill, Samuel Plummer
Morrissey, John 
Mungen, William 
Newsham, Joseph Parkinson
Nuckolls, Stephen Friel
Paine, Halbert Eleazer
Paine, William Wiseham
Phelps, Darwin 
Pomeroy, Charles 
Pratt, Daniel Darwin
Prince, Charles Henry
Prosser, William Farrand
Ramsey, Alexander 
Reading, John Roberts
Reeves, Henry Augustus
Ridgway, Robert 
Rogers, Anthony Astley Cooper
Roots, Logan Holt
Sanford, Stephen 
Schenck, Robert Cumming
Schurz, Carl 
Scott, John 
Shafer, Jacob K.
Sheldon, Porter 
Sherrod, William Crawford
Smith, Joseph Showalter
Smith, William Jay
Smyth, William 
Spink, Solomon Lewis
Sprague, William 
Stevens, Aaron Fletcher
Stiles, John Dodson
Stockton, John Potter
Stokes, William Brickly
Stone, Frederick 
Strader, Peter Wilson
Strickland, Randolph 
Sumner, Charles 
Sweeney, William Northcut
Tanner, Adolphus Hitchcock
Taylor, Caleb Newbold
Tift, Nelson 
Tillman, Lewis 
Tipton, Thomas Weston
Trimble, Lawrence Strother
Van Auken, Daniel Myers
Ward, Hamilton 
Washburn, Cadwallader Colden
Washburne, Elihu Benjamin
Welker, Martin 
Whitmore, George Washington
Whittemore, Benjamin Franklin
Wilkinson, Morton Smith
Wilson, Eugene McLanahan
Winans, James January
Witcher, John Seashoal
Wolf, William Penn
Woodward, George Washington
Ames, Adelbert 
Flanagan, James Winright
Hamilton, Morgan Calvin
Howell, James Bruen
Jewett, Daniel Tarbox
Lewis, John Francis
Revels, Hiram Rhodes
Acker, Ephraim Leister
Alcorn, James Lusk
Ambler, Jacob A.
Ames, Oakes 
Beatty, John 
Beck, Erasmus Williams
Beveridge, John Lourie
Bigby, John Summerfield
Biggs, Benjamin Thomas
Bingham, John Armor
Bird, John Taylor
Blair, Austin 
Blair, Francis Preston
Blair, James Gorrall
Boarman, Alexander 
Boles, Thomas 
Braxton, Elliott Muse
Brooks, George Merrick
Buckley, Charles Waldron
Burdett, Samuel Swinfin
Caldwell, Alexander 
Caldwell, Robert Porter
Campbell, Lewis Davis
Carroll, John Michael
Clagett, William Horace
Clark, William Thomas
Clayton, Powell 
Coghlan, John Maxwell
Conner, John Coggswell
Cook, Burton Chauncey
Cooper, Henry 
Cragin, Aaron Harrison
Crebs, John Montgomery
Creely, John Vaudain
Critcher, John 
De Large, Robert Carlos
Dickey, Oliver James
Dodds, Ozro John
Dox, Peter Myndert
Du Bose, Dudley McIver
Duke, Richard Thomas Walker
Edwards, John 
Esty, Constantine Canaris
Farnsworth, John Franklin
Finkelnburg, Gustavus Adolphus
Forker, Samuel Carr
Foster, Henry Donnel
Frelinghuysen, Frederick Theodore
Gallegos, José Manuel
Garfielde, Selucius 
Garrett, Abraham Ellison
Getz, James Lawrence
Goldthwaite, George 
Golladay, Edward Isaac
Goodrich, Milo 
Griffith, Samuel 
Haldeman, Richard Jacobs
Halsey, George Armstrong
Hambleton, Samuel 
Handley, William Anderson
Hanks, James Millander
Harper, James Clarence
Harris, George Emrick
Hay, John Breese
Hibbard, Ellery Albee
Hill, Joshua 
Hitchcock, Phineas Warren
Hooper, William Henry
Jones, William Theopilus
Kelly, James Kerr
King, Andrew 
Kinsella, Thomas 
Lewis, Joseph Horace
Lynch, John 
MacIntyre, Archibald Thompson
Manson, Mahlon Dickerson
McCleery, James 
McClelland, William 
McCormick, James Robinson
McGrew, James Clark
McHenry, Henry Davis
McKinney, John Franklin
McNeely, Thompson Ware
Mercur, Ulysses 
Merrick, William Matthew
Merritt, Samuel Augustus
Meyers, Benjamin Franklin
Miller, Homer Virgil Milton
Moore, Jesse Hale
Morgan, George Washington
Morphis, Joseph Lewis
Morrill, Lot Myrick
Niblack, Silas Leslie
Palmer, Francis Wayland
Peck, Erasmus Darwin
Perce, Legrand Winfield
Perry, Aaron Fyfe
Peters, John Andrew
Porter, Charles Howell
Price, William Pierce
Prindle, Elizur H.
Rice, Edward Young
Rice, John McConnell
Ritchie, John 
Robertson, Thomas James
Rogers, John 
Rogers, Sion Hart
Roosevelt, Robert Barnwell
Seeley, John Edward
Shellabarger, Samuel 
Sherwood, Henry 
Shober, Francis Edwin
Smith, John Armstrong
Smith, Worthington Curtis
Snapp, Henry 
Speer, Thomas Jefferson
Stearns, Ozora Pierson
Stevens, Bradford Newcomb
Stevenson, Job Evans
Stevenson, John White
Stoughton, William Lewis
Strong, Julius Levi
Sutherland, Jabez Gridley
Taffe, John 
Townsend, Dwight 
Turner, Benjamin Sterling
Tuthill, Joseph Hasbrouck
Twichell, Ginery 
Upson, William Hanford
Van Trump, Philadelph 
Vaughan, William Wirt
Wakeman, Seth 
Walden, Madison Miner
Warren, Joseph Mabbett
West, Joseph Rodman
Williams, William 
Wilson, Henry 
Wilson, John Thomas
Winchester, Boyd 
Wright, George Grover
Machen, Willis Benson
Adams, George Madison
Albert, William Julian
Albright, Charles 
Archer, Stevenson 
Armstrong, Moses Kimball
Arthur, William Evans
Averill, John Thomas
Barber, Joel Allen
Barrere, Granville 
Barry, Henry W.
Begole, Josiah Williams
Berry, John 
Biery, James Soloman
Bogy, Lewis Vital
Boutwell, George Sewel
Bowen, Rees Tate
Bromberg, Frederick George
Brooks, James 
Cameron, Simon 
Carpenter, Lewis Cass
Cessna, John 
Chipman, Norton Parker
Clark, Amos 
Clarke, Freeman 
Clayton, Charles 
Clements, Isaac 
Cobb, Clinton Levering
Cobb, Stephen Alonzo
Coburn, John 
Comingo, Abram 
Conover, Simon Barclay
Corwin, Franklin 
Cotton, Aylett Rains
Crocker, Alvah 
Crooke, Philip Schuyler
Crossland, Edward 
Crozier, Robert 
Crutchfield, William 
Curtis, Carlton Brandaga
Davis, Alexander Mathews
Davis, John James
De Witt, David Miller
Dennis, George Robertson
Donnan, William G.
Dorsey, Stephen Wallace
Duell, Rodolphus Holland
Eldredge, Charles Augustus
Elliott, Robert Brown
Ferry, Orris Sanford
Field, Moses Whelock
Finck, William Edward
Foster, Wilder De Ayr
Freeman, James Crawford
Gooch, Daniel Wheelwright
Gunckel, Lewis B.
Hagans, John Marshall
Hager, John Sharpenstein
Hale, Robert Safford
Harrison, Horace Harrison
